hostname,ContextSwitchesPerSecond,AbstractionLayer,iface,IPTAB_activated,IPTAB_estimatedDevicePortSpeed,IPTAB_complexity,IPTAB_maxRules,IPTAB_RX_bytes,IPTAB_RX_packets,IPTAB_TX_bytes,IPTAB_TX_packets,OVS_activated,OVS_estimatedDevicePortSpeed,OVS_complexity,OVS_maxRules,OVS_RX_bytes,OVS_RX_dropped,OVS_RX_packets,OVS_TX_bytes,OVS_TX_dropped,OVS_TX_packets,TC_activated,TC_queueDiscipline,TC_queueLenght,TC_currentCombinedQueues,TC_currentRxQueues,TC_currentTxQueues,TC_estimatedDevicePortSpeed,TC_complexity,TC_current_bwd_guaranteed,TC_maxRules,TC_RX_bytes,TC_RX_dropped,TC_RX_packets,TC_TX_bytes,TC_TX_dropped,TC_TX_packets,encapsulationLayer,encapsulationType1,encapsulationType2,sense,l3Proto,dstIP,macSrc,macDst,l4Proto,tos,outTos,dstPort,state,totalpktCount,totalBits,packetSize,sumInterPacketLagNS,lastInterPacketRate,programmableTechnology,activatedRuleTimeSecs,averageMatchedBytes,averageMatchedPackets,currentMatchedBytesPerPeriod,currentMatchedPacketsPerPeriod,lastMatchedTime,ruleComplexity,totalMatchedBytes,totalMatchedPackets,actionType,actionName,IPTAB_numberRulesActivatedTotal,OVS_numberRulesActivatedTotal,TC_numberRulesActivatedTotal,target
EDGE-IAAS-0-COMPUTE-1,1,0,eth6,False,0,400,4096,0.0,0.0,0.0,0.0,True,10000000000,20,16384,8713656,0,8143,88414,0,167.0,True,noqueue,1000,0,0,1,10000000000,26,0,4096,2212112.0,2079.0,2081.0,0,0,0,1,gtp,0,INGRESS,0.0,10101100000011101101111011111110,0.0,0.0,17,0,0.0,80,ACTIVE,8207,67231744,1024.0,0,0,TC,19.0,118048.0,110.94736842105264,113848,107,0.0,3,2242912,2108,INSERT,DROP,0.0,0,1,OVS
EDGE-IAAS-0-COMPUTE-1,1,0,eth7,False,0,400,4096,0.0,0.0,0.0,0.0,True,10000000000,20,16384,6570835,0,36162,72906,0,415.0,True,noqueue,1000,0,0,1,10000000000,26,0,4096,0.0,0.0,0.0,0,0,0,1,gtp,0,INGRESS,0.0,10101100001010001101111011111110,0.0,0.0,17,0,0.0,80,DROPPED,8982,9199608,128.0,0,0,OVS,137.0,9828.0,54.0,0,0,15.0,5,1346436,7398,INSERT,DROP,0.0,4,0,OVS
EDGE-IAAS-0-COMPUTE-1,3,0,eth0,True,10000000000,400,4096,2846482.0,10263.0,97804030.0,137559.0,True,10000000000,20,16384,1597072,0,2888,75543828,0,133588.0,True,noqueue,1000,0,0,1,10000000000,26,0,4096,0.0,0.0,0.0,0,0,0,2,vxlan,gtp,EGRESS,0.0,10101100001010001101111011111110,0.0,0.0,17,0,0.0,80,DROPPED,12423,50884608,512.0,0,0,IPTABLES,40.0,66536.05,110.525,67424,112,0.0,13,2661442,4421,INSERT,DROP,2.0,0,0,OVS
EDGE-IAAS-0-COMPUTE-1,2,0,eth0,True,10000000000,400,4096,1722530.0,9597.0,29305157.0,24043.0,True,10000000000,20,16384,272254,0,513,10180704,0,18016.0,True,noqueue,1000,0,0,1,10000000000,26,0,4096,0.0,0.0,0.0,0,0,0,2,vxlan,gtp,EGRESS,0.0,10101100000100001101111011111110,0.0,0.0,17,0,0.0,80,DROPPED,4603,18853888,512.0,0,0,IPTABLES,86.0,30534.0,50.72093023255814,0,0,4.0,13,2625924,4362,INSERT,DROP,2.0,0,0,OVS
EDGE-IAAS-0-COMPUTE-1,1,0,eth7,False,0,400,4096,0.0,0.0,0.0,0.0,False,0,20,16384,0,0,0,0,0,0.0,True,noqueue,1000,0,0,1,10000000000,26,0,4096,22519554.0,11809.0,21182.0,0,0,0,1,gtp,0,INGRESS,0.0,10101100001010001101111011111110,0.0,0.0,17,0,0.0,80,ACTIVE,2534,20758528,1024.0,0,0,TC,15.0,151726.4,142.6,113848,107,0.0,3,2275896,2139,INSERT,DROP,0.0,0,4,TC
EDGE-IAAS-0-COMPUTE-1,2,0,eth7,False,0,400,4096,0.0,0.0,0.0,0.0,True,10000000000,20,16384,8567285,0,15197,48904,0,117.0,True,noqueue,1000,0,0,1,10000000000,26,0,4096,0.0,0.0,0.0,0,0,0,1,gtp,0,INGRESS,0.0,10101100000100001101111011111110,0.0,0.0,17,0,0.0,80,DROPPED,15120,61931520,512.0,0,0,OVS,108.0,62343.851851851854,110.14814814814817,84900,150,0.0,5,6733136,11896,INSERT,DROP,0.0,1,0,OVS
EDGE-IAAS-0-COMPUTE-1,4,0,eth7,False,0,400,4096,0.0,0.0,0.0,0.0,True,10000000000,20,16384,41088900,0,72725,432470,0,816.0,True,noqueue,1000,0,0,1,10000000000,26,0,4096,25909707.0,31563.0,46967.0,0,0,0,1,gtp,0,INGRESS,0.0,10101100001010001101111011111110,0.0,0.0,17,0,0.0,80,DROPPED,17377,67959776,489.0,0,0,TC,101.0,47996.67326732673,86.95049504950495,0,0,25.0,3,4847664,8782,INSERT,DROP,0.0,0,4,OVS
EDGE-IAAS-0-COMPUTE-1,3,0,eth0,True,10000000000,400,4096,2530702.0,13245.0,63221451.0,80806.0,False,0,20,16384,0,0,0,0,0,0.0,True,noqueue,1000,0,0,1,10000000000,26,0,4096,0.0,0.0,0.0,0,0,0,2,vxlan,gtp,EGRESS,0.0,10101100000110001101111011111110,0.0,0.0,17,0,0.0,80,DROPPED,4424,18120704,512.0,0,0,IPTABLES,127.0,64816.91338582677,107.66929133858268,0,0,1.0,13,8231748,13674,INSERT,DROP,4.0,0,0,TC
EDGE-IAAS-0-COMPUTE-1,2,0,eth0,True,10000000000,400,4096,2891009.0,14914.0,27169762.0,47789.0,True,10000000000,20,16384,18680,0,110,6597006,0,36267.0,True,noqueue,1000,0,0,1,10000000000,26,0,4096,0.0,0.0,0.0,0,0,0,2,vxlan,gtp,EGRESS,0.0,10101100000010101101111011111110,0.0,0.0,17,0,0.0,80,DROPPED,3500,3584000,128.0,0,0,IPTABLES,142.0,22449.394366197183,102.97887323943662,0,0,4.0,13,3187814,14623,INSERT,DROP,2.0,0,0,OVS
EDGE-IAAS-0-COMPUTE-2,5,0,eth0,True,10000000000,400,4096,509508.0,3816.0,10007131.0,18568.0,True,10000000000,20,16384,35396,0,324,1359754,0,15458.0,True,noqueue,1000,0,0,1,10000000000,26,0,4096,0.0,0.0,0.0,0,0,0,2,vxlan,gtp,EGRESS,0.0,10101100000011101101111011111110,0.0,0.0,17,0,0.0,80,ACTIVE,6229,1694288,34.0,0,0,IPTABLES,18.0,13516.0,109.0,11036,89,0.0,13,243288,1962,INSERT,DROP,2.0,0,0,OVS
EDGE-IAAS-0-COMPUTE-1,4,0,eth0,True,10000000000,400,4096,2192791.0,10003.0,99470370.0,77033.0,True,10000000000,20,16384,856592,0,1456,78099272,0,72510.0,True,noqueue,1000,0,0,1,10000000000,26,0,4096,0.0,0.0,0.0,0,0,0,2,vxlan,gtp,EGRESS,0.0,10101100000101101101111011111110,0.0,0.0,17,0,0.0,80,ACTIVE,15268,125075456,1024.0,0,0,IPTABLES,40.0,78592.7,70.55,0,0,12.0,13,3143708,2822,INSERT,DROP,2.0,0,0,OVS
EDGE-IAAS-0-COMPUTE-2,8,0,eth6,False,0,400,4096,0.0,0.0,0.0,0.0,True,10000000000,20,16384,404499,0,4575,21014,0,190.0,True,noqueue,1000,0,0,1,10000000000,26,0,4096,0.0,0.0,0.0,0,0,0,1,gtp,0,INGRESS,0.0,10101100000101101101111011111110,0.0,0.0,17,0,0.0,80,ACTIVE,2088,567936,34.0,0,0,OVS,12.0,5155.333333333333,58.583333333333336,4400,50,0.0,5,61864,703,INSERT,DROP,0.0,2,0,OVS
EDGE-IAAS-0-COMPUTE-1,3,0,eth0,True,10000000000,400,4096,2390000.0,8596.0,82900000.0,116630.0,True,10000000000,20,16384,1388038,0,2511,64218146,0,113565.0,True,noqueue,1000,0,0,1,10000000000,26,0,4096,21736828.0,12037.0,35402.0,0,0,0,2,vxlan,gtp,EGRESS,0.0,1.01011e+31,0.0,0.0,17,0,0.0,80,ACTIVE,12423,50884608,512.0,0,0,TC,31.0,62162.32,112.61,64032,116,0.0,3,1927032,3491,INSERT,DROP,2618.0,18764,4451,IPTABLES
EDGE-IAAS-0-COMPUTE-1,2,0,eth7,False,0,400,4096,0.0,0.0,0.0,0.0,True,10000000000,20,16384,78228756,0,72715,272648,0,527.0,True,noqueue,1000,0,0,1,10000000000,26,0,4096,62441522.0,49326.0,58728.0,0,0,0,1,gtp,0,INGRESS,0.0,10101100001010001101111011111110,0.0,0.0,17,0,0.0,80,DROPPED,16711,136896512,1024.0,0,0,TC,120.0,102179.46666666666,96.03333333333332,0,0,22.0,3,12261536,11524,INSERT,DROP,0.0,0,4,OVS
EDGE-IAAS-0-COMPUTE-2,2,0,eth0,True,10000000000,400,4096,1660611.0,11149.0,34298657.0,134626.0,True,10000000000,20,16384,275886,0,2483,11210642,0,127432.0,True,noqueue,1000,0,0,1,10000000000,26,0,4096,0.0,0.0,0.0,0,0,0,2,vxlan,gtp,EGRESS,0.0,10101100001010001101111011111110,0.0,0.0,17,0,0.0,80,ACTIVE,12636,3436992,34.0,0,0,IPTABLES,33.0,13797.818181818182,111.27272727272728,13144,106,0.0,13,455328,3672,INSERT,DROP,5.0,0,0,OVS
EDGE-IAAS-0-COMPUTE-2,6,0,eth7,False,0,400,4096,0.0,0.0,0.0,0.0,True,10000000000,20,16384,6401767,0,72702,79696,0,728.0,True,noqueue,1000,0,0,1,10000000000,26,0,4096,3458288.0,46191.0,46711.0,0,0,0,1,gtp,0,INGRESS,0.0,10101100001010001101111011111110,0.0,0.0,17,0,0.0,80,DROPPED,13145,3575440,34.0,0,0,TC,110.0,7679.181818181818,103.77272727272728,0,0,14.0,3,844710,11415,INSERT,DROP,0.0,0,4,OVS
EDGE-IAAS-0-COMPUTE-2,1,0,eth7,False,0,400,4096,0.0,0.0,0.0,0.0,True,10000000000,20,16384,3091839,0,35087,56914,0,524.0,True,noqueue,1000,0,0,1,10000000000,26,0,4096,1719658.0,22960.0,23215.0,0,0,0,1,gtp,0,INGRESS,0.0,10101100001010001101111011111110,0.0,0.0,17,0,0.0,80,DROPPED,8517,2316624,34.0,0,0,TC,99.0,4304.707070707071,58.17171717171717,4070,55,0.0,3,426166,5759,INSERT,DROP,0.0,0,4,OVS
EDGE-IAAS-0-COMPUTE-1,4,0,eth6,False,0,400,4096,0.0,0.0,0.0,0.0,True,10000000000,20,16384,4078100,0,13200,49730,0,175.0,True,noqueue,1000,0,0,1,10000000000,26,0,4096,2071958.0,6998.0,7003.0,0,0,0,1,gtp,0,INGRESS,0.0,10101100000011101101111011111110,0.0,0.0,17,0,0.0,80,DROPPED,13163,26957824,256.0,0,0,TC,65.0,32131.938461538462,108.55384615384617,30784,104,0.0,3,2088576,7056,INSERT,DROP,0.0,0,1,OVS
EDGE-IAAS-0-COMPUTE-2,1,0,eth0,True,10000000000,400,4096,1525161.0,8704.0,54902016.0,39823.0,True,10000000000,20,16384,249684,0,442,35939956,0,33366.0,True,noqueue,1000,0,0,1,10000000000,26,0,4096,0.0,0.0,0.0,0,0,0,2,vxlan,gtp,EGRESS,0.0,10101100000100001101111011111110,0.0,0.0,17,0,0.0,80,DROPPED,9249,75767808,1024.0,0,0,IPTABLES,75.0,118054.29333333332,105.97333333333331,121426,109,0.0,13,8854072,7948,INSERT,DROP,2.0,0,0,OVS
EDGE-IAAS-0-COMPUTE-2,7,0,eth7,False,0,400,4096,0.0,0.0,0.0,0.0,True,10000000000,20,16384,22445172,0,20926,274944,0,493.0,True,noqueue,1000,0,0,1,10000000000,26,0,4096,0.0,0.0,0.0,0,0,0,1,gtp,0,INGRESS,0.0,10101100001010001101111011111110,0.0,0.0,17,0,0.0,80,ACTIVE,1395,11427840,1024.0,0,0,OVS,5.0,146392.4,135.8,107800,100,0.0,5,731962,679,INSERT,DROP,0.0,4,0,OVS
EDGE-IAAS-0-COMPUTE-1,1,0,eth0,True,10000000000,400,4096,1056953.0,6753.0,31105681.0,19184.0,False,0,20,16384,0,0,0,0,0,0.0,True,noqueue,1000,0,0,1,10000000000,26,0,4096,0.0,0.0,0.0,0,0,0,2,vxlan,gtp,EGRESS,0.0,10101100000100001101111011111110,0.0,0.0,17,0,0.0,80,DROPPED,3124,25591808,1024.0,0,0,IPTABLES,82.0,58267.634146341465,52.30487804878049,55700,50,0.0,13,4777946,4289,INSERT,DROP,2.0,0,0,TC
EDGE-IAAS-0-COMPUTE-1,3,0,eth0,True,10000000000,400,4096,2100970.0,10899.0,53260743.0,68112.0,True,10000000000,20,16384,460982,0,857,34671564,0,61302.0,True,noqueue,1000,0,0,1,10000000000,26,0,4096,0.0,0.0,0.0,0,0,0,2,vxlan,gtp,EGRESS,0.0,10101100000110001101111011111110,0.0,0.0,17,0,0.0,80,DROPPED,3941,16142336,512.0,0,0,IPTABLES,104.0,65600.63461538461,108.97115384615384,55986,93,0.0,13,6822466,11333,INSERT,DROP,4.0,0,0,OVS
EDGE-IAAS-0-COMPUTE-1,9,0,eth7,False,0,400,4096,0.0,0.0,0.0,0.0,True,10000000000,20,16384,3124260,0,9189,52796,0,134.0,True,noqueue,1000,0,0,1,10000000000,26,0,4096,3674346.0,24025.0,100104.0,0,0,0,1,gtp,0,INGRESS,0.0,1.01011e+31,0.0,0.0,17,0,0.0,80,ACTIVE,14896,30507008,256.0,0,0,TC,72.0,29139.55556,98.44444444,30488,103,0.0,3,2204608,7448,INSERT,DROP,0.0,8588,539,OVS
EDGE-IAAS-0-COMPUTE-1,6,0,eth0,True,10000000000,400,4096,1883302.0,10595.0,47569665.0,139918.0,True,10000000000,20,16384,567606,0,2859,24535208,0,134892.0,True,noqueue,1000,0,0,1,10000000000,26,0,4096,0.0,0.0,0.0,0,0,0,2,vxlan,gtp,EGRESS,0.0,10101100001001101101111011111110,0.0,0.0,17,0,0.0,80,DROPPED,6468,6623232,128.0,0,0,IPTABLES,100.0,23443.72,107.54,22454,103,0.0,13,2344372,10754,INSERT,DROP,3.0,0,0,OVS
